NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1990,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1991,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1992,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1993,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1994,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1995,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1996,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1997,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1998,,,
AccumulatedNewCapacity,0.022579865939409707,0.0,UTOPIA,,,,,,,,,,E01,1999,,,
AccumulatedNewCapacity,0.1493021625792717,0.0,UTOPIA,,,,,,,,,,E01,2000,,,
AccumulatedNewCapacity,0.3545951775542854,0.0,UTOPIA,,,,,,,,,,E01,2001,,,
AccumulatedNewCapacity,0.5539769165272692,0.0,UTOPIA,,,,,,,,,,E01,2002,,,
AccumulatedNewCapacity,0.6774820487249424,0.0,UTOPIA,,,,,,,,,,E01,2003,,,
AccumulatedNewCapacity,0.7024560073080155,0.0,UTOPIA,,,,,,,,,,E01,2004,,,
AccumulatedNewCapacity,0.8274299658910883,0.0,UTOPIA,,,,,,,,,,E01,2005,,,
AccumulatedNewCapacity,0.8524039244741612,0.0,UTOPIA,,,,,,,,,,E01,2006,,,
AccumulatedNewCapacity,0.8773778830572342,0.0,UTOPIA,,,,,,,,,,E01,2007,,,
AccumulatedNewCapacity,0.902351841640307,0.0,UTOPIA,,,,,,,,,,E01,2008,,,
AccumulatedNewCapacity,0.9273258002233801,0.0,UTOPIA,,,,,,,,,,E01,2009,,,
AccumulatedNewCapacity,0.9989247588064529,0.0,UTOPIA,,,,,,,,,,E01,2010,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1990,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1991,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1992,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1993,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1994,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1995,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1996,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1997,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1998,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1999,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2000,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2001,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2002,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2003,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2004,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2005,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2006,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2007,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2008,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2009,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,2010,,,
AccumulatedNewCapacity,0.03,0.0,UTOPIA,,,,,,,,,,E31,1990,,,
AccumulatedNewCapacity,0.04,0.0,UTOPIA,,,,,,,,,,E31,1991,,,
AccumulatedNewCapacity,0.04,0.0,UTOPIA,,,,,,,,,,E31,1992,,,
AccumulatedNewCapacity,0.05,0.0,UTOPIA,,,,,,,,,,E31,1993,,,
AccumulatedNewCapacity,0.05,0.0,UTOPIA,,,,,,,,,,E31,1994,,,
AccumulatedNewCapacity,0.05,0.0,UTOPIA,,,,,,,,,,E31,1995,,,
AccumulatedNewCapacity,0.06,0.0,UTOPIA,,,,,,,,,,E31,1996,,,
AccumulatedNewCapacity,0.06,0.0,UTOPIA,,,,,,,,,,E31,1997,,,
AccumulatedNewCapacity,0.06,0.0,UTOPIA,,,,,,,,,,E31,1998,,,
AccumulatedNewCapacity,0.06,0.0,UTOPIA,,,,,,,,,,E31,1999,,,
AccumulatedNewCapacity,0.07,0.0,UTOPIA,,,,,,,,,,E31,2000,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2001,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2002,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2003,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2004,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2005,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2006,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2007,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2008,,,
AccumulatedNewCapacity,0.1,0.0,UTOPIA,,,,,,,,,,E31,2009,,,
AccumulatedNewCapacity,0.11000000000000001,0.0,UTOPIA,,,,,,,,,,E31,2010,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1990,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1991,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1992,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1993,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1994,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1995,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1996,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1997,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1998,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,1999,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2000,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2001,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2002,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2003,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2004,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2005,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2006,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2007,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2008,,,
AccumulatedNewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E51,2009,,,
