NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
AnnFixedOperatingCost,20.0,,,,,,,,,,,,E01,1990,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,20.0,,,,,,,,,,,,E01,1991,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,20.0,,,,,,,,,,,,E01,1992,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,16.0,,,,,,,,,,,,E01,1993,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,16.0,,,,,,,,,,,,E01,1994,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,16.0,,,,,,,,,,,,E01,1995,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,16.0,,,,,,,,,,,,E01,1996,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,16.0,,,,,,,,,,,,E01,1997,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,16.0,,,,,,,,,,,,E01,1998,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,12.903194637576387,,,,,,,,,,,,E01,1999,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,18.77208650317087,,,,,,,,,,,,E01,2000,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,26.183807102171414,,,,,,,,,,,,E01,2001,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,34.15907666109077,,,,,,,,,,,,E01,2002,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,39.0992819489977,,,,,,,,,,,,E01,2003,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,40.098240292320625,,,,,,,,,,,,E01,2004,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,41.09719863564354,,,,,,,,,,,,E01,2005,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,42.09615697896645,,,,,,,,,,,,E01,2006,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,43.095115322289374,,,,,,,,,,,,E01,2007,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,44.094073665612285,,,,,,,,,,,,E01,2008,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,45.093032008935204,,,,,,,,,,,,E01,2009,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,45.95699035225812,,,,,,,,,,,,E01,2010,ResidualCapacity,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1990,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1991,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1992,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1993,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1994,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1995,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1996,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1997,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1998,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,1999,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2000,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2001,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2002,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2003,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2004,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2005,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2006,,UTOPIA,UTOPIA
AnnFixedOperatingCost,0.0,,,,,,,,,,,,E21,2007,,UTOPIA,UTOPIA
