NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
AnnTechEmission,3.090000000810001,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1990,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1990,,,
AnnTechEmission,0.8387970176175118,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1990,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1990,,,
AnnTechEmission,5.200000000000001,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1990,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1990,,,
AnnTechEmission,3.244500000850501,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1991,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1991,,,
AnnTechEmission,1.1416021469926267,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1991,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1991,,,
AnnTechEmission,5.460000000000001,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1991,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1991,,,
AnnTechEmission,3.399000000891,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1992,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1992,,,
AnnTechEmission,1.219477146992628,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1992,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1992,,,
AnnTechEmission,5.72,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1992,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1992,,,
AnnTechEmission,3.5535000009315003,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1993,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1993,,,
AnnTechEmission,1.435901525,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1993,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1993,,,
AnnTechEmission,5.980000000000001,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1993,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1993,,,
AnnTechEmission,3.7080000009720013,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1994,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1994,,,
AnnTechEmission,1.5137765250000002,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1994,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1994,,,
AnnTechEmission,6.24,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1994,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1994,,,
AnnTechEmission,3.8625000010125015,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1995,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1995,,,
AnnTechEmission,1.591651525,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1995,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1995,,,
AnnTechEmission,6.500000000000001,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1995,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1995,,,
AnnTechEmission,4.017000001053,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1996,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1996,,,
AnnTechEmission,1.6458449599999998,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1996,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1996,,,
AnnTechEmission,6.760000000000001,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1996,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1996,,,
AnnTechEmission,4.171500001093501,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1997,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1997,,,
AnnTechEmission,1.72371996,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1997,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1997,,,
AnnTechEmission,7.019999999999999,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1997,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1997,,,
AnnTechEmission,4.326000001134001,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1998,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1998,,,
AnnTechEmission,1.7829967127489827,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1998,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1998,,,
AnnTechEmission,7.28,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1998,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1998,,,
AnnTechEmission,4.480500001174501,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,1999,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,1999,,,
AnnTechEmission,1.7172390169926268,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,1999,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,1999,,,
AnnTechEmission,7.54,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,1999,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,1999,,,
AnnTechEmission,4.364458982746285,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,2000,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,2000,,,
AnnTechEmission,2.473711845556984,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,2000,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,2000,,,
AnnTechEmission,7.8,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,2000,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,2000,,,
AnnTechEmission,4.250590312264899,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,2001,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,2001,,,
AnnTechEmission,3.416453428403519,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,2001,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,2001,,,
AnnTechEmission,8.189,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,2001,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,2001,,,
AnnTechEmission,4.12868592749539,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,2002,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,2002,,,
AnnTechEmission,4.451099081250053,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,2002,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,2002,,,
AnnTechEmission,8.578,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,2002,,,
AnnTechEmission,0.0,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXG,2002,,,
AnnTechEmission,4.160607271639141,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPDSL1,2003,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPGSL1,2003,,,
AnnTechEmission,5.086438779579042,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPHCO1,2003,,,
AnnTechEmission,0.0,0.0,,,0.0,,CO2,0.0,0.0,21,6,,IMPOIL1,2003,,,
AnnTechEmission,8.967000000000002,0.0,,,0.0,,NOX,0.0,0.0,21,6,,TXD,2003,,,
