NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1990,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1991,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1992,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1993,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1994,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1995,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1996,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1997,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1998,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,1999,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2000,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2001,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2002,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2003,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2004,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2005,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2006,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2007,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2008,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2009,,UTOPIA,UTOPIA
DiscCapitalInvestmentStorage,0.0,0.0,,,,,,,,,,DAM,,2010,,UTOPIA,UTOPIA
