NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
DiscOperatingCost,20.904769816755966,,UTOPIA,,,,,,,,,,E01,1990,DiscountFactor,,
DiscOperatingCost,20.904769816755966,,UTOPIA,,,,,,,,,,E01,1990,DiscountFactor,,
DiscOperatingCost,10.35677613653764,,UTOPIA,,,,,,,,,,E01,1991,DiscountFactor,,
DiscOperatingCost,10.35677613653764,,UTOPIA,,,,,,,,,,E01,1991,DiscountFactor,,
DiscOperatingCost,4.821934383624536,,UTOPIA,,,,,,,,,,E01,1992,DiscountFactor,,
DiscOperatingCost,4.821934383624536,,UTOPIA,,,,,,,,,,E01,1992,DiscountFactor,,
DiscOperatingCost,1.7471108397892396,,UTOPIA,,,,,,,,,,E01,1993,DiscountFactor,,
DiscOperatingCost,1.7471108397892396,,UTOPIA,,,,,,,,,,E01,1993,DiscountFactor,,
DiscOperatingCost,0.7318638391826182,,UTOPIA,,,,,,,,,,E01,1994,DiscountFactor,,
DiscOperatingCost,0.7318638391826182,,UTOPIA,,,,,,,,,,E01,1994,DiscountFactor,,
DiscOperatingCost,0.28990539724529046,,UTOPIA,,,,,,,,,,E01,1995,DiscountFactor,,
DiscOperatingCost,0.28990539724529046,,UTOPIA,,,,,,,,,,E01,1995,DiscountFactor,,
DiscOperatingCost,0.10824681670160474,,UTOPIA,,,,,,,,,,E01,1996,DiscountFactor,,
DiscOperatingCost,0.10824681670160474,,UTOPIA,,,,,,,,,,E01,1996,DiscountFactor,,
DiscOperatingCost,0.03814211832858272,,UTOPIA,,,,,,,,,,E01,1997,DiscountFactor,,
DiscOperatingCost,0.03814211832858272,,UTOPIA,,,,,,,,,,E01,1997,DiscountFactor,,
DiscOperatingCost,0.012629016062136863,,UTOPIA,,,,,,,,,,E01,1998,DiscountFactor,,
DiscOperatingCost,0.012629016062136863,,UTOPIA,,,,,,,,,,E01,1998,DiscountFactor,,
DiscOperatingCost,0.00322149057538963,,UTOPIA,,,,,,,,,,E01,1999,DiscountFactor,,
DiscOperatingCost,0.00322149057538963,,UTOPIA,,,,,,,,,,E01,1999,DiscountFactor,,
DiscOperatingCost,0.0013598790548891683,,UTOPIA,,,,,,,,,,E01,2000,DiscountFactor,,
DiscOperatingCost,0.0013598790548891683,,UTOPIA,,,,,,,,,,E01,2000,DiscountFactor,,
DiscOperatingCost,0.0005151810295805636,,UTOPIA,,,,,,,,,,E01,2001,DiscountFactor,,
DiscOperatingCost,0.0005151810295805636,,UTOPIA,,,,,,,,,,E01,2001,DiscountFactor,,
DiscOperatingCost,0.0001707826194061006,,UTOPIA,,,,,,,,,,E01,2002,DiscountFactor,,
DiscOperatingCost,0.0001707826194061006,,UTOPIA,,,,,,,,,,E01,2002,DiscountFactor,,
DiscOperatingCost,4.634794860439583e-05,,UTOPIA,,,,,,,,,,E01,2003,DiscountFactor,,
DiscOperatingCost,4.634794860439583e-05,,UTOPIA,,,,,,,,,,E01,2003,DiscountFactor,,
DiscOperatingCost,1.0498568286950092e-05,,UTOPIA,,,,,,,,,,E01,2004,DiscountFactor,,
DiscOperatingCost,1.0498568286950092e-05,,UTOPIA,,,,,,,,,,E01,2004,DiscountFactor,,
DiscOperatingCost,2.2109737517240186e-06,,UTOPIA,,,,,,,,,,E01,2005,DiscountFactor,,
DiscOperatingCost,2.2109737517240186e-06,,UTOPIA,,,,,,,,,,E01,2005,DiscountFactor,,
DiscOperatingCost,4.3228747740353446e-07,,UTOPIA,,,,,,,,,,E01,2006,DiscountFactor,,
DiscOperatingCost,4.3228747740353446e-07,,UTOPIA,,,,,,,,,,E01,2006,DiscountFactor,,
DiscOperatingCost,7.836029628891092e-08,,UTOPIA,,,,,,,,,,E01,2007,DiscountFactor,,
DiscOperatingCost,7.836029628891092e-08,,UTOPIA,,,,,,,,,,E01,2007,DiscountFactor,,
DiscOperatingCost,1.3151353538319724e-08,,UTOPIA,,,,,,,,,,E01,2008,DiscountFactor,,
DiscOperatingCost,1.3151353538319724e-08,,UTOPIA,,,,,,,,,,E01,2008,DiscountFactor,,
DiscOperatingCost,2.129998492852078e-09,,UTOPIA,,,,,,,,,,E01,2009,DiscountFactor,,
DiscOperatingCost,2.129998492852078e-09,,UTOPIA,,,,,,,,,,E01,2009,DiscountFactor,,
DiscOperatingCost,3.0472707438460615e-10,,UTOPIA,,,,,,,,,,E01,2010,DiscountFactor,,
DiscOperatingCost,3.0472707438460615e-10,,UTOPIA,,,,,,,,,,E01,2010,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1990,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1990,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1991,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1991,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1992,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1992,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1993,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1993,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1994,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1994,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1995,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1995,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1996,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1996,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1997,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1997,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1998,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1998,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1999,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,1999,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2000,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2000,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2001,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2001,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2002,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2002,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2003,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2003,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2004,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2004,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2005,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2005,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2006,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2006,DiscountFactor,,
DiscOperatingCost,0.0,,UTOPIA,,,,,,,,,,E21,2007,DiscountFactor,,
