NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1990,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1991,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1992,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1993,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1994,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1995,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1996,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1997,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1998,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,1999,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2000,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2001,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2002,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2003,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2004,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2005,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2006,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2007,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2008,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2009,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,BCKSTP,2010,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1990,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1991,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1992,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1993,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1994,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1995,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1996,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1997,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1998,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,1999,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2000,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2001,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2002,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2003,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2004,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2005,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2006,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2007,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2008,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2009,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E01,2010,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1990,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1991,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1992,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1993,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1994,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1995,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1996,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1997,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1998,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,1999,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2000,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2001,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2002,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2003,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2004,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2005,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2006,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2007,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2008,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2009,,,
InputToNewCapacity,0.0,0.0,UTOPIA,,,DSL,,,,,,,E21,2010,,,
