NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1990,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1991,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1992,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1993,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1994,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1995,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1996,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1997,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1998,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,1999,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2000,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2001,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2002,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2003,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2004,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2005,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2006,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2007,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2008,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2009,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,BCKSTP,2010,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1990,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1991,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1992,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1993,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1994,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1995,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1996,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1997,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E01,1998,,,
NewCapacity,0.022579865939409707,0.0,UTOPIA,,,,,,,,,,E01,1999,,,
NewCapacity,0.126722296639862,0.0,UTOPIA,,,,,,,,,,E01,2000,,,
NewCapacity,0.20529301497501368,0.0,UTOPIA,,,,,,,,,,E01,2001,,,
NewCapacity,0.19938173897298386,0.0,UTOPIA,,,,,,,,,,E01,2002,,,
NewCapacity,0.12350513219767321,0.0,UTOPIA,,,,,,,,,,E01,2003,,,
NewCapacity,0.024973958583073077,0.0,UTOPIA,,,,,,,,,,E01,2004,,,
NewCapacity,0.12497395858307277,0.0,UTOPIA,,,,,,,,,,E01,2005,,,
NewCapacity,0.0249739585830729,0.0,UTOPIA,,,,,,,,,,E01,2006,,,
NewCapacity,0.024973958583072938,0.0,UTOPIA,,,,,,,,,,E01,2007,,,
NewCapacity,0.024973958583072883,0.0,UTOPIA,,,,,,,,,,E01,2008,,,
NewCapacity,0.024973958583073025,0.0,UTOPIA,,,,,,,,,,E01,2009,,,
NewCapacity,0.07159895858307291,0.0,UTOPIA,,,,,,,,,,E01,2010,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1990,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1991,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1992,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1993,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1994,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1995,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1996,,,
NewCapacity,0.0,0.0,UTOPIA,,,,,,,,,,E21,1997,,,
