NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1990,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1991,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1992,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1993,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1994,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1995,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1996,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1997,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1998,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,1999,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2000,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2001,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2002,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2003,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2004,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2005,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2006,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2007,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2008,,,
RateOfActivity,0.0,0.0,UTOPIA,,,,,,,1,1,,BCKSTP,2009,,,
