NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1990,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1991,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1992,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1993,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1994,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1995,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1996,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1997,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1998,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1999,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2000,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2001,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2002,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2003,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2004,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2005,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2006,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2007,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2008,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2009,,,
SalvageValueStorage,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2010,,,
