NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1990,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1991,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1992,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1993,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1994,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1995,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1996,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1997,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1998,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,1999,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2000,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2001,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2002,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2003,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2004,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2005,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2006,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2007,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2008,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2009,,,
StorageSurfaceArea,0.0,0.0,UTOPIA,,,,,,,,,DAM,,2010,,,
