NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
TotCapacityAnn,0.5,,UTOPIA,,,,,,,,,,E01,1990.0,ResidualCapacity,,
TotCapacityAnn,0.5,,UTOPIA,,,,,,,,,,E01,1991.0,ResidualCapacity,,
TotCapacityAnn,0.5,,UTOPIA,,,,,,,,,,E01,1992.0,ResidualCapacity,,
TotCapacityAnn,0.4,,UTOPIA,,,,,,,,,,E01,1993.0,ResidualCapacity,,
TotCapacityAnn,0.4,,UTOPIA,,,,,,,,,,E01,1994.0,ResidualCapacity,,
TotCapacityAnn,0.4,,UTOPIA,,,,,,,,,,E01,1995.0,ResidualCapacity,,
TotCapacityAnn,0.4,,UTOPIA,,,,,,,,,,E01,1996.0,ResidualCapacity,,
TotCapacityAnn,0.4,,UTOPIA,,,,,,,,,,E01,1997.0,ResidualCapacity,,
TotCapacityAnn,0.4,,UTOPIA,,,,,,,,,,E01,1998.0,ResidualCapacity,,
TotCapacityAnn,0.3225798659394097,,UTOPIA,,,,,,,,,,E01,1999.0,ResidualCapacity,,
TotCapacityAnn,0.4693021625792717,,UTOPIA,,,,,,,,,,E01,2000.0,ResidualCapacity,,
TotCapacityAnn,0.6545951775542853,,UTOPIA,,,,,,,,,,E01,2001.0,ResidualCapacity,,
TotCapacityAnn,0.8539769165272693,,UTOPIA,,,,,,,,,,E01,2002.0,ResidualCapacity,,
TotCapacityAnn,0.9774820487249425,,UTOPIA,,,,,,,,,,E01,2003.0,ResidualCapacity,,
TotCapacityAnn,1.0024560073080155,,UTOPIA,,,,,,,,,,E01,2004.0,ResidualCapacity,,
TotCapacityAnn,1.0274299658910884,,UTOPIA,,,,,,,,,,E01,2005.0,ResidualCapacity,,
TotCapacityAnn,1.0524039244741612,,UTOPIA,,,,,,,,,,E01,2006.0,ResidualCapacity,,
TotCapacityAnn,1.0773778830572343,,UTOPIA,,,,,,,,,,E01,2007.0,ResidualCapacity,,
TotCapacityAnn,1.102351841640307,,UTOPIA,,,,,,,,,,E01,2008.0,ResidualCapacity,,
TotCapacityAnn,1.1273258002233801,,UTOPIA,,,,,,,,,,E01,2009.0,ResidualCapacity,,
TotCapacityAnn,1.1489247588064528,,UTOPIA,,,,,,,,,,E01,2010.0,ResidualCapacity,,
TotCapacityAnn,0.13,,UTOPIA,,,,,,,,,,E31,1990.0,ResidualCapacity,,
TotCapacityAnn,0.14,,UTOPIA,,,,,,,,,,E31,1991.0,ResidualCapacity,,
TotCapacityAnn,0.14,,UTOPIA,,,,,,,,,,E31,1992.0,ResidualCapacity,,
TotCapacityAnn,0.15000000000000002,,UTOPIA,,,,,,,,,,E31,1993.0,ResidualCapacity,,
TotCapacityAnn,0.15000000000000002,,UTOPIA,,,,,,,,,,E31,1994.0,ResidualCapacity,,
TotCapacityAnn,0.15000000000000002,,UTOPIA,,,,,,,,,,E31,1995.0,ResidualCapacity,,
TotCapacityAnn,0.16,,UTOPIA,,,,,,,,,,E31,1996.0,ResidualCapacity,,
TotCapacityAnn,0.16,,UTOPIA,,,,,,,,,,E31,1997.0,ResidualCapacity,,
TotCapacityAnn,0.16,,UTOPIA,,,,,,,,,,E31,1998.0,ResidualCapacity,,
TotCapacityAnn,0.16,,UTOPIA,,,,,,,,,,E31,1999.0,ResidualCapacity,,
TotCapacityAnn,0.17,,UTOPIA,,,,,,,,,,E31,2000.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2001.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2002.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2003.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2004.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2005.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2006.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2007.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2008.0,ResidualCapacity,,
TotCapacityAnn,0.2,,UTOPIA,,,,,,,,,,E31,2009.0,ResidualCapacity,,
TotCapacityAnn,0.21000000000000002,,UTOPIA,,,,,,,,,,E31,2010.0,ResidualCapacity,,
TotCapacityAnn,0.5,,UTOPIA,,,,,,,,,,E51,1990.0,ResidualCapacity,,
TotCapacityAnn,0.5,,UTOPIA,,,,,,,,,,E51,1991.0,ResidualCapacity,,
